Processor,Status,Release Date,Cores,Max Turbo Speed,Base Speed,Cache Size
Intel Core i7-8650U Processor,Launched,Q3'17,4,4.20 GHz,1.90 GHz,8 MB 
Intel Core i7-8565U Processor,Launched,Q3'18,4,4.60 GHz,1.80 GHz,8 MB 
Intel Core i7-8559U Processor,Launched,Q2'18,4,4.50 GHz,2.70 GHz,8 MB 
Intel Core i7-8550U Processor,Launched,Q3'17,4,4.00 GHz,1.80 GHz,8 MB 
Intel Core i7-8510Y Processor,Launched,Q1'19,2,3.90 GHz,1.80 GHz,4 MB
Intel Core i7-8500Y Processor,Launched,Q1'19,2,3.90 GHz,1.50 GHz,4 MB 
Intel Core i7-8086K Processor,Launched,Q2'18,6,5.00 GHz,4.00 GHz,12 MB 
Intel Core i5-8600T Processor,Launched,Q2'18,6,3.70 GHz,2.30 GHz,9 MB 
Intel Core i5-8600K Processor,Launched,Q4'17,6,4.30 GHz,3.60 GHz,9 MB 
Intel Core i5-8600 Processor,Launched,Q2'18,6,4.30 GHz,3.10 GHz,9 MB 
Intel Core i5-8500T Processor,Launched,Q2'18,6,3.50 GHz,2.10 GHz,9 MB 
Intel Core i5-8500B Processor,Launched,Q2'18,6,4.10 GHz,3.00 GHz,9 MB 
Intel Core i5-8500 Processor,Launched,Q2'18,6,4.10 GHz,3.00 GHz,9 MB 
"Intel Core i5+8500 Processor (9M Cache, up to 4.10 GHz) includes Intel Optane Memory",Launched,Q2'18,6,4.10 GHz,3.00 GHz,9 MB 
Intel Core i5-8400T Processor,Launched,Q2'18,6,3.30 GHz,1.70 GHz,9 MB 
Intel Core i5-8400H Processor,Launched,Q2'18,4,4.20 GHz,2.50 GHz,8 MB 
Intel Core i5-8400B Processor,Launched,Q2'18,6,4.00 GHz,2.80 GHz,9 MB 
Intel Core i5-8400 Processor,Launched,Q4'17,6,4.00 GHz,2.80 GHz,9 MB 
"Intel Core i5+8400 Processor (9M Cache, up to 4.00 GHz) includes Intel Optane Memory",Launched,Q2'18,6,4.00 GHz,2.80 GHz,9 MB 
Intel Core i5-8365UE Processor,Launched,Q2'19,4,4.10 GHz,1.60 GHz,6 MB
Intel Core i5-8365U Processor,Launched,Q2 '19,4,4.10 GHz,1.60 GHz,6 MB 
Intel Core i5-8350U Processor,Launched,Q3'17,4,3.60 GHz,1.70 GHz,6 MB 
Intel Core i5-8310Y Processor,Launched,Q1'19,2,3.90 GHz,1.60 GHz,4 MB
Intel Core i5-8305G Processor with Radeon RX Vega M GL graphics,Announced,Q1'18,4,3.80 GHz,2.80 GHz,6 MB
Intel Core i5-8305G Processor with Radeon Pro WX Vega M GL graphics,Launched,Q3'18,4,3.80 GHz,2.80 GHz,6 MB
Intel Core i5-8300H Processor,Launched,Q2'18,4,4.00 GHz,2.30 GHz,8 MB 
Intel Core i5-8279U Processor,Launched,Q2'19,4,4.10 GHz,2.40 GHz,6 MB 
Intel Core i5-8269U Processor,Launched,Q2'18,4,4.20 GHz,2.60 GHz,6 MB 
Intel Core i5-8265U Processor,Launched,Q3'18,4,3.90 GHz,1.60 GHz,6 MB 
Intel Core i5-8259U Processor,Launched,Q2'18,4,3.80 GHz,2.30 GHz,6 MB 
Intel Core i5-8250U Processor,Launched,Q3'17,4,3.40 GHz,1.60 GHz,6 MB 
Intel Core i5-8210Y Processor,Launched,Q1'19,2,3.90 GHz,1.60 GHz,4 MB 
Intel Core i5-8200Y Processor,Launched,Q3'18,2,3.90 GHz,1.30 GHz,4 MB 
Intel Core i3-8350K Processor,Launched,Q4'17,4,,4.00 GHz,8 MB 
Intel Core i3-8300 Processor,Launched,Q2'18,4,,3.70 GHz,8 MB 
Intel Core i3-8300T Processor,Launched,Q2'18,4,,3.20 GHz,8 MB 
Intel Core i3-8145UE Processor,Launched,Q2'19,2,3.90 GHz,2.20 GHz,4 MB
