Processor,Status,Release Date,Cores,Max Turbo Speed,Base Speed,Cache Size
Intel Core i5-2467M Processor,Launched,Q2'11,2,2.30 GHz,1.60 GHz,3 MB 
Intel Core i5-2450P Processor,Discontinued,Q1'12,4,3.50 GHz,3.20 GHz,6 MB 
Intel Core i5-2450M Processor,Launched,Q1'12,2,3.10 GHz,2.50 GHz,3 MB 
Intel Core i5-2435M Processor,Launched,Q4'11,2,3.00 GHz,2.40 GHz,3 MB 
Intel Core i5-2430M Processor,Launched,Q4'11,2,3.00 GHz,2.40 GHz,3 MB 
Intel Core i5-2410M Processor,Launched,Q1'11,2,2.90 GHz,2.30 GHz,3 MB 
Intel Core i5-2405S Processor,Discontinued,Q2'11,4,3.30 GHz,2.50 GHz,6 MB 
Intel Core i5-2400S Processor,Discontinued,Q1'11,4,3.30 GHz,2.50 GHz,6 MB 
Intel Core i5-2400 Processor,Launched,Q1'11,4,3.40 GHz,3.10 GHz,6 MB 
Intel Core i5-2390T Processor,Discontinued,Q1'11,2,3.50 GHz,2.70 GHz,3 MB 
Intel Core i5-2380P Processor,Discontinued,Q1'12,4,3.40 GHz,3.10 GHz,6 MB 
Intel Core i5-2320 Processor,Discontinued,Q3'11,4,3.30 GHz,3.00 GHz,6 MB 
Intel Core i5-2310 Processor,Discontinued,Q2'11,4,3.20 GHz,2.90 GHz,6 MB 
Intel Core i5-2300 Processor,Discontinued,Q1'11,4,3.10 GHz,2.80 GHz,6 MB 
Intel Core i3-2377M Processor,Launched,Q2'12,2,,1.50 GHz,3 MB 
Intel Core i3-2375M Processor,Launched,Q1'13,2,,1.50 GHz,3 MB 
Intel Core i3-2370M Processor,Launched,Q1'12,2,,2.40 GHz,3 MB 
Intel Core i3-2367M Processor,Launched,Q4'11,2,,1.40 GHz,3 MB 
Intel Core i3-2365M Processor,Launched,Q3'12,2,,1.40 GHz,3 MB 
Intel Core i3-2357M Processor,Launched,Q2'11,2,,1.30 GHz,3 MB 
Intel Core i3-2350M Processor,Launched,Q4'11,2,,2.30 GHz,3 MB 
Intel Core i3-2348M Processor,Launched,Q1'13,2,,2.30 GHz,3 MB 
Intel Core i3-2340UE Processor,Launched,Q2'11,2,,1.30 GHz,3 MB 
Intel Core i3-2330M Processor,Launched,Q2'11,2,,2.20 GHz,3 MB 
Intel Core i3-2330E Processor,Launched,Q2'11,2,,2.20 GHz,3 MB 
Intel Core i3-2328M Processor,Launched,Q3'12,2,,2.20 GHz,3 MB
Intel Core i3-2312M Processor,Launched,Q2'11,2,,2.10 GHz,3 MB 
Intel Core i3-2310M Processor,Launched,Q1'11,2,,2.10 GHz,3 MB 
Intel Core i3-2310E Processor,Launched,Q1'11,2,,2.10 GHz,3 MB 
Intel Core i3-2130 Processor,Discontinued,Q3'11,2,,3.40 GHz,3 MB 
Intel Core i3-2125 Processor,Discontinued,Q3'11,2,,3.30 GHz,3 MB 
Intel Core i3-2120T Processor,Discontinued,Q3'11,2,,2.60 GHz,3 MB 
Intel Core i3-2120 Processor,Launched,Q1'11,2,,3.30 GHz,3 MB 
Intel Core i3-2115C Processor,Launched,Q2'12,2,,2.00 GHz,3 MB 
Intel Core i3-2105 Processor,Discontinued,Q2'11,2,,3.10 GHz,3 MB 
Intel Core i3-2102 Processor,Discontinued,Q2'11,2,,3.10 GHz,3 MB 
Intel Core i3-2100T Processor,Discontinued,Q1'11,2,,2.50 GHz,3 MB 
Intel Core i3-2100 Processor,Discontinued,Q1'11,2,,3.10 GHz,3 MB 
Intel Core i7-980 Processor,Discontinued,Q2'11,6,3.60 GHz,3.33 GHz,12 MB 
Intel Core i7-970 Processor,Discontinued,Q3'10,6,3.46 GHz,3.20 GHz,12 MB 
Intel Core i7-960 Processor,Discontinued,Q4'09,4,3.46 GHz,3.20 GHz,8 MB 
Intel Core i7-950 Processor,Discontinued,Q2'09,4,3.33 GHz,3.06 GHz,8 MB 
Intel Core i7-940 Processor,Discontinued,Q4'08,4,3.20 GHz,2.93 GHz,8 MB 
Intel Core i7-930 Processor,Discontinued,Q1'10,4,3.06 GHz,2.80 GHz,8 MB 
Intel Core i7-920 Processor,Discontinued,Q4'08,4,2.93 GHz,2.66 GHz,8 MB 
Intel Core i7-880 Processor,Discontinued,Q2'10,4,3.73 GHz,3.06 GHz,8 MB 
Intel Core i7-875K Processor,Discontinued,Q2'10,4,3.60 GHz,2.93 GHz,8 MB 
Intel Core i7-870S Processor,Discontinued,Q2'10,4,3.60 GHz,2.66 GHz,8 MB 
Intel Core i7-870 Processor,Discontinued,Q3'09,4,3.60 GHz,2.93 GHz,8 MB 
Intel Core i7-860S Processor,Discontinued,Q1'10,4,3.46 GHz,2.53 GHz,8 MB 
Intel Core i7-860 Processor,Discontinued,Q3'09,4,3.46 GHz,2.80 GHz,8 MB 
Intel Core i7-840QM Processor,Discontinued,Q3'10,4,3.20 GHz,1.86 GHz,8 MB 
Intel Core i7-820QM Processor,Discontinued,Q3'09,4,3.06 GHz,1.73 GHz,8 MB 
Intel Core i7-740QM Processor,Discontinued,Q3'10,4,2.93 GHz,1.73 GHz,6 MB 
Intel Core i7-720QM Processor,Discontinued,Q3'09,4,2.80 GHz,1.60 GHz,6 MB 
Intel Core i7-680UM Processor,Discontinued,Q3'10,2,2.53 GHz,1.46 GHz,4 MB 
Intel Core i7-660UM Processor,Discontinued,Q2'10,2,2.40 GHz,1.33 GHz,4 MB 
Intel Core i7-660UE Processor,Launched,Q1'10,2,2.40 GHz,1.33 GHz,4 MB
Intel Core i7-660LM Processor,Discontinued,Q3'10,2,3.06 GHz,2.26 GHz,4 MB 
Intel Core i7-640UM Processor,Discontinued,Q1'10,2,2.27 GHz,1.20 GHz,4 MB 
Intel Core i7-640M Processor,Discontinued,Q3'10,2,3.46 GHz,2.80 GHz,4 MB 
Intel Core i7-640LM Processor,Discontinued,Q1'10,2,2.93 GHz,2.13 GHz,4 MB 
Intel Core i7-620UM Processor,Discontinued,Q1'10,2,2.13 GHz,1.06 GHz,4 MB 
Intel Core i7-620UE Processor,Launched,Q1'10,2,2.13 GHz,1.06 GHz,4 MB 
Intel Core i7-620M Processor,Launched,Q1'10,2,3.33 GHz,2.66 GHz,4 MB 
Intel Core i7-620LM Processor,Discontinued,Q1'10,2,2.80 GHz,2.00 GHz,4 MB 
Intel Core i7-620LE Processor,Launched,Q1'10,2,2.80 GHz,2.00 GHz,4 MB 
Intel Core i7-610E Processor,Launched,Q1'10,2,3.20 GHz,2.53 GHz,4 MB 
Intel Core i5-760 Processor,Discontinued,Q3'10,4,3.33 GHz,2.80 GHz,8 MB 
Intel Core i5-750S Processor,Discontinued,Q1'10,4,3.20 GHz,2.40 GHz,8 MB 
Intel Core i5-750 Processor,Discontinued,Q3'09,4,3.20 GHz,2.66 GHz,8 MB 
Intel Core i5-680 Processor,Discontinued,Q2'10,2,3.86 GHz,3.60 GHz,4 MB 
Intel Core i5-670 Processor,Discontinued,Q1'10,2,3.73 GHz,3.46 GHz,4 MB 
Intel Core i5-661 Processor,Discontinued,Q1'10,2,3.60 GHz,3.33 GHz,4 MB 
Intel Core i5-660 Processor,Discontinued,Q1'10,2,3.60 GHz,3.33 GHz,4 MB 
Intel Core i5-655K Processor,Discontinued,Q2'10,2,3.46 GHz,3.20 GHz,4 MB 
Intel Core i5-650 Processor,Discontinued,Q1'10,2,3.46 GHz,3.20 GHz,4 MB 
Intel Core i5-580M Processor,Discontinued,Q3'10,2,3.33 GHz,2.66 GHz,3 MB 
Intel Core i5-560UM Processor,Discontinued,Q3'10,2,2.13 GHz,1.33 GHz,3 MB 
Intel Core i5-560M Processor,Discontinued,Q3'10,2,3.20 GHz,2.66 GHz,3 MB 
Intel Core i5-540UM Processor,Discontinued,Q2'10,2,2.00 GHz,1.20 GHz,3 MB 
Intel Core i5-540M Processor,Discontinued,Q1'10,2,3.07 GHz,2.53 GHz,3 MB 
Intel Core i5-520UM Processor,Discontinued,Q1'10,2,1.87 GHz,1.07 GHz,3 MB 
Intel Core i5-520M Processor,Launched,Q1'10,2,2.93 GHz,2.40 GHz,3 MB 
Intel Core i5-520E Processor,Launched,Q1'10,2,2.93 GHz,2.40 GHz,3 MB 
Intel Core i5-480M Processor,Discontinued,Q1'11,2,2.93 GHz,2.66 GHz,3 MB 
Intel Core i5-470UM Processor,Discontinued,Q4'10,2,1.86 GHz,1.33 GHz,3 MB 
Intel Core i5-460M Processor,Discontinued,Q3'10,2,2.80 GHz,2.53 GHz,3 MB 
Intel Core i5-450M Processor,Discontinued,Q2'10,2,2.66 GHz,2.40 GHz,3 MB 
Intel Core i5-430UM Processor,Discontinued,Q2'10,2,1.73 GHz,1.20 GHz,3 MB 
Intel Core i5-430M Processor,Discontinued,Q1'10,2,2.53 GHz,2.26 GHz,3 MB 
Intel Core i3-560 Processor,Discontinued,Q3'10,2,,3.33 GHz,4 MB 
Intel Core i3-550 Processor,Discontinued,Q2'10,2,,3.20 GHz,4 MB 
Intel Core i3-540 Processor,Discontinued,Q1'10,2,,3.06 GHz,4 MB 
Intel Core i3-530 Processor,Discontinued,Q1'10,2,,2.93 GHz,4 MB 
Intel Core i3-390M Processor,Discontinued,Q1'11,2,,2.66 GHz,3 MB 
Intel Core i3-380UM Processor,Discontinued,Q4'10,2,,1.33 GHz,3 MB 
Intel Core i3-380M Processor,Discontinued,Q3'10,2,,2.53 GHz,3 MB 
Intel Core i3-370M Processor,Discontinued,Q3'10,2,,2.40 GHz,3 MB 
Intel Core i3-350M Processor,Discontinued,Q1'10,2,,2.26 GHz,3 MB 
Intel Core i3-330UM Processor,Discontinued,Q2'10,2,,1.20 GHz,3 MB 
Intel Core i3-330M Processor,Discontinued,Q1'10,2,,2.13 GHz,3 MB 
Intel Core i3-330E Processor,Launched,Q1'10,2,,2.13 GHz,3 MB 
Intel Core2 Quad Processor Q9650,Discontinued,Q3'08,4,,3.00 GHz,12 MB 
Intel Core2 Quad Processor Q9550S,Discontinued,Q1'09,4,,2.83 GHz,12 MB 
Intel Core2 Quad Processor Q9550,Discontinued,Q1'08,4,,2.83 GHz,12 MB 
Intel Core2 Quad Processor Q9505S,Discontinued,Q3'09,4,,2.83 GHz,6 MB 
Intel Core2 Quad Processor Q9505,Discontinued,Q3'09,4,,2.83 GHz,6 MB 
Intel Core2 Quad Processor Q9500,Discontinued,,4,,2.83 GHz,6 MB 
Intel Core2 Quad Processor Q9450,Discontinued,Q1'08,4,,2.66 GHz,12 MB 
Intel Core2 Quad Processor Q9400S,Discontinued,Q1'09,4,,2.66 GHz,6 MB 
Intel Core2 Quad Processor Q9400,Discontinued,Q3'08,4,,2.66 GHz,6 MB 
Intel Core2 Quad Processor Q9300,Discontinued,Q1'08,4,,2.50 GHz,6 MB 
Intel Core2 Quad Processor Q9100,Discontinued,Q3'08,4,,2.26 GHz,12 MB 
Intel Core2 Quad Processor Q9000,Discontinued,Q1'09,4,,2.00 GHz,6 MB 
Intel Core2 Quad Processor Q8400S,Discontinued,Q2'09,4,,2.66 GHz,4 MB 
Intel Core2 Quad Processor Q8400,Discontinued,Q2'09,4,,2.66 GHz,4 MB 
Intel Core2 Quad Processor Q8300,Discontinued,Q4'08,4,,2.50 GHz,4 MB 
Intel Core2 Quad Processor Q8200S,Discontinued,Q1'09,4,,2.33 GHz,4 MB 
Intel Core2 Quad Processor Q8200,Discontinued,Q3'08,4,,2.33 GHz,4 MB 
Intel Core2 Quad Processor Q6700,Discontinued,Q3'07,4,,2.66 GHz,8 MB 
Intel Core2 Quad Processor Q6600,Discontinued,Q1'07,4,,2.40 GHz,8 MB 
Intel Core2 Duo Processor E8600,Discontinued,Q3'08,2,,3.33 GHz,6 MB 
Intel Core2 Duo Processor E8500,Discontinued,Q1'08,2,,3.16 GHz,6 MB 
Intel Core2 Duo Processor E8400,Discontinued,Q1'08,2,,3.00 GHz,6 MB 
Intel Core2 Duo Processor E8300,Discontinued,Q2'08,2,,2.83 GHz,6 MB 
Intel Core2 Duo Processor E8200,Discontinued,Q1'08,2,,2.66 GHz,6 MB 
Intel Core2 Duo Processor E8190,Discontinued,Q1'08,2,,2.66 GHz,6 MB 
Intel Core2 Duo Processor E7600,Discontinued,Q2'09,2,,3.06 GHz,3 MB 
Intel Core2 Duo Processor E7500,Discontinued,Q1'09,2,,2.93 GHz,3 MB 
Intel Core2 Duo Processor E7400,Discontinued,Q1'08,2,,2.80 GHz,3 MB 
Intel Core2 Duo Processor E7300,Discontinued,Q3'08,2,,2.66 GHz,3 MB 
Intel Core2 Duo Processor E7200,Discontinued,Q2'08,2,,2.53 GHz,3 MB 
Intel Core2 Duo Processor E6850,Discontinued,Q3'07,2,,3.00 GHz,4 MB 
Intel Core2 Duo Processor E6750,Discontinued,Q3'07,2,,2.66 GHz,4 MB 
Intel Core2 Duo Processor E6700,Discontinued,Q3'06,2,,2.66 GHz,4 MB 
Intel Core2 Duo Processor E6600,Discontinued,Q3'06,2,,2.40 GHz,4 MB 
Intel Core2 Duo Processor E6550,Discontinued,Q3'07,2,,2.33 GHz,4 MB 
Intel Core2 Duo Processor E6540,Discontinued,Q3'07,2,,2.33 GHz,4 MB 
Intel Core2 Duo Processor E6420,Discontinued,Q2'07,2,,2.13 GHz,4 MB 
Intel Core2 Duo Processor E6320,Discontinued,Q2'07,2,,1.86 GHz,4 MB 
Intel Core2 Duo Processor E6400,Discontinued,Q3'06,2,,2.13 GHz,2 MB 
Intel Core2 Duo Processor E6300,Discontinued,Q3'06,2,,1.86 GHz,2 MB 
Intel Core2 Duo Processor E4700,Discontinued,Q1'08,2,,2.60 GHz,2 MB 
Intel Core2 Duo Processor E4600,Discontinued,Q4'07,2,,2.40 GHz,2 MB 
Intel Core2 Duo Processor E4500,Discontinued,Q3'07,2,,2.20 GHz,2 MB 
Intel Core2 Duo Processor E4400,Discontinued,Q2'07,2,,2.00 GHz,2 MB 
Intel Core2 Duo Processor E4300,Discontinued,Q3'06,2,,1.80 GHz,2 MB 
Intel Core2 Duo Processor L7700,Discontinued,Q3'07,2,,1.80 GHz,4 MB 
Intel Core2 Duo Processor L7500,Discontinued,Q3'06,2,,1.60 GHz,4 MB 
Intel Core2 Duo Processor L7400,Discontinued,Q3'06,2,,1.50 GHz,4 MB 
Intel Core2 Duo Processor L7300,Discontinued,Q2'07,2,,1.40 GHz,4 MB 
Intel Core2 Duo Processor L7200,Discontinued,Q1'07,2,,1.33 GHz,4 MB 
Intel Core Duo Processor 400,Discontinued,Q1'06,2,,1.66 GHz,2 MB 
Intel Core Duo Processor 300,Discontinued,,2,,1.50 GHz,2 MB 
Intel Core Duo Processor 500,Discontinued,,2,,1.83 GHz,2 MB 
Intel Core2 Duo Processor P9700,Discontinued,Q2'09,2,,2.80 GHz,6 MB 
Intel Core2 Duo Processor P9600,Discontinued,Q4'08,2,,2.66 GHz,6 MB 
Intel Core2 Duo Processor P9500,Discontinued,Q3'08,2,,2.53 GHz,6 MB 
Intel Core2 Duo Processor P8800,Discontinued,Q2'09,2,,2.66 GHz,3 MB 
Intel Core2 Duo Processor P8700,Discontinued,Q4'08,2,,2.53 GHz,3 MB 
Intel Core2 Duo Processor P8600,Discontinued,Q3'08,2,,2.40 GHz,3 MB 
Intel Core2 Duo Processor P8400,Discontinued,Q3'08,2,,2.26 GHz,3 MB 
Intel Core2 Duo Processor P7570,Discontinued,Q3'09,2,,2.26 GHz,3 MB 
Intel Core2 Duo Processor P7550,Discontinued,Q3'09,2,,2.26 GHz,3 MB 
Intel Core2 Duo Processor P7450,Discontinued,Q1'09,2,,2.13 GHz,3 MB 
Intel Core2 Duo Processor P7370,Discontinued,Q4'08,2,,2.00 GHz,3 MB 
Intel Core2 Duo Processor P7350,Discontinued,Q3'08,2,,2.00 GHz,3 MB 
Intel Core2 Duo Processor SL9300,Discontinued,Q3'08,2,,1.60 GHz,6 MB 
Intel Core2 Duo Processor SL9600,Discontinued,Q1'09,2,,2.13 GHz,6 MB 
Intel Core2 Duo Processor SL9400,Discontinued,Q3'08,2,,1.86 GHz,6 MB 
Intel Core2 Duo Processor SL9380,Discontinued,Q3'08,2,,1.80 GHz,6 MB 
Intel Core2 Duo Processor SP9600,Discontinued,Q1'09,2,,2.53 GHz,6 MB 
Intel Core2 Duo Processor SP9400,Discontinued,Q3'08,2,,2.40 GHz,6 MB 
Intel Core2 Duo Processor SP9300,Discontinued,Q3'08,2,,2.26 GHz,6 MB 
Intel Core2 Duo Processor SU9600,Discontinued,Q1'09,2,,1.60 GHz,3 MB 
Intel Core2 Duo Processor SU9400,Discontinued,Q3'08,2,,1.40 GHz,3 MB 
Intel Core2 Duo Processor SU9300,Discontinued,Q3'08,2,,1.20 GHz,3 MB 
Intel Core2 Duo Processor T9900,Discontinued,Q2'09,2,,3.06 GHz,6 MB 
Intel Core2 Duo Processor T9800,Discontinued,Q4'08,2,,2.93 GHz,6 MB 
Intel Core2 Duo Processor T9600,Discontinued,Q3'08,2,,2.80 GHz,6 MB 
Intel Core2 Duo Processor T9550,Discontinued,Q4'08,2,,2.66 GHz,6 MB 
Intel Core2 Duo Processor T9500,Discontinued,Q1'08,2,,2.60 GHz,6 MB 
Intel Core2 Duo Processor T9400,Discontinued,Q3'08,2,,2.53 GHz,6 MB 
Intel Core2 Duo Processor T9300,Discontinued,Q1'08,2,,2.50 GHz,6 MB 
Intel Core2 Duo Processor T7800,Discontinued,Q3'07,2,,2.60 GHz,4 MB 
Intel Core2 Duo Processor T8300,Discontinued,Q1'08,2,,2.40 GHz,3 MB 
Intel Core2 Duo Processor T8100,Discontinued,Q1'08,2,,2.10 GHz,3 MB 
Intel Core2 Duo Processor T7700,Discontinued,Q2'07,2,,2.40 GHz,4 MB 
Intel Core2 Duo Processor T7600,Discontinued,Q3'07,2,,2.33 GHz,4 MB 
Intel Core2 Duo Processor T7500,Discontinued,Q3'06,2,,2.20 GHz,4 MB 
Intel Core2 Duo Processor T7400,Discontinued,Q3'06,2,,2.16 GHz,4 MB 
Intel Core2 Duo Processor T7300,Discontinued,Q2'07,2,,2.00 GHz,4 MB 
Intel Core2 Duo Processor T7250,Discontinued,Q3'07,2,,2.00 GHz,2 MB 
Intel Core2 Duo Processor T7200,Discontinued,,2,,2.00 GHz,4 MB 
Intel Core2 Duo Processor T7100,Discontinued,Q2'07,2,,1.80 GHz,2 MB 
Intel Core2 Duo Processor T6670,Discontinued,Q3'09,2,,2.20 GHz,2 MB 
Intel Core2 Duo Processor T6600,Discontinued,Q1'09,2,,2.20 GHz,2 MB 
Intel Core2 Duo Processor T6500,Discontinued,Q2'09,2,,2.10 GHz,2 MB 
Intel Core2 Duo Processor T6400,Discontinued,Q1'09,2,,2.00 GHz,2 MB 
Intel Core2 Duo Processor T5870,Discontinued,,2,,2.00 GHz,2 MB 
Intel Core2 Duo Processor T5800,Discontinued,Q4'08,2,,2.00 GHz,2 MB 
Intel Core2 Duo Processor T5750,Discontinued,Q1'08,2,,2.00 GHz,2 MB 
Intel Core2 Duo Processor T5670,Discontinued,Q2'08,2,,1.80 GHz,2 MB 
Intel Core2 Duo Processor T5600,Discontinued,,2,,1.83 GHz,2 MB 
Intel Core2 Duo Processor T5550,Discontinued,,2,,1.83 GHz,2 MB 
Intel Core2 Duo Processor T5500,Discontinued,,2,,1.66 GHz,2 MB 
Intel Core2 Duo Processor T5470,Discontinued,,2,,1.60 GHz,2 MB 
Intel Core2 Duo Processor T5450,Discontinued,,2,,1.66 GHz,2 MB 
Intel Core2 Duo Processor T5300,Discontinued,,2,,1.73 GHz,2 MB 
Intel Core2 Duo Processor T5270,Discontinued,,2,,1.40 GHz,2 MB 
Intel Core2 Duo Processor T5250,Discontinued,,2,,1.50 GHz,2 MB 
Intel Core Duo Processor T2700,Discontinued,,2,,2.33 GHz,2 MB 
Intel Core2 Duo Processor T5200,Discontinued,,2,,1.60 GHz,2 MB 
Intel Core Duo Processor T2600,Discontinued,,2,,2.16 GHz,2 MB 
Intel Core Duo Processor T2500,Discontinued,Q1'06,2,,2.00 GHz,2 MB 
Intel Core Duo Processor T2450,Discontinued,,2,,2.00 GHz,2 MB 
Intel Core Duo Processor T2400,Discontinued,,2,,1.83 GHz,2 MB 
Intel Core Duo Processor T2350,Discontinued,,2,,1.86 GHz,2 MB 
Intel Core Duo Processor T2300E,Discontinued,,2,,1.66 GHz,2 MB 
Intel Core Duo Processor T2300,Discontinued,,2,,1.66 GHz,2 MB 
Intel Core Duo Processor T2250,Discontinued,,2,,1.73 GHz,2 MB 
Intel Core Duo Processor T2050,Discontinued,,2,,1.60 GHz,2 MB 
Intel Core2 Duo Processor U7700,Discontinued,Q1'08,2,,1.33 GHz,2 MB 
Intel Core2 Duo Processor U7600,Discontinued,,2,,1.20 GHz,2 MB 
Intel Core2 Duo Processor U7600,Discontinued,Q2'07,2,,1.20 GHz,2 MB 
Intel Core2 Duo Processor U7500,Discontinued,Q3'06,2,,1.06 GHz,2 MB 
Intel Core2 Duo Processor U7500,Discontinued,Q3'06,2,,1.06 GHz,2 MB 
Intel Core Duo Processor U2500,Discontinued,Q1'06,2,,1.20 GHz,2 MB 
Intel Core Duo Processor U2400,Discontinued,,2,,1.06 GHz,2 MB 
Intel Core2 Solo Processor ULV SU3300,Discontinued,Q3'08,1,,1.20 GHz,3 MB 
Intel Core2 Solo Processor ULV SU3500,Discontinued,Q2'09,1,,1.40 GHz,3 MB 
Intel Core2 Solo Processor U2200,Discontinued,Q3'07,1,,1.20 GHz,1 MB 
Intel Core2 Solo Processor U2100,Discontinued,Q3'07,1,,1.06 GHz,1 MB 
Intel Core Solo Processor U1500,Discontinued,,1,,1.33 GHz,2 MB 
Intel Core Solo Processor U1400,Discontinued,,1,,1.20 GHz,2 MB 
Intel Core Solo Processor U1300,Discontinued,,1,,1.06 GHz,2 MB 
Intel Core Solo Processor T1400,Discontinued,,1,,1.83 GHz,2 MB 
Intel Core Solo Processor T1350,Discontinued,,1,,1.86 GHz,2 MB 
Intel Core Solo Processor T1300,Discontinued,,1,,1.66 GHz,2 MB 
Intel Core Solo Processor T1250,Discontinued,,1,,1.73 GHz,2 MB 
Intel Core2 Solo Processor SU3500,Discontinued,Q2'09,1,,1.30 GHz,3 MB
Intel Xeon Platinum 9282 Processor,Launched,Q2'19,56,3.80 GHz,2.60 GHz,77 MB
Intel Xeon Platinum 9242 Processor,Launched,Q2'19,48,3.80 GHz,2.30 GHz,71.5 MB
Intel Xeon Platinum 8280M Processor,Launched,Q2'19,28,4.00 GHz,2.70 GHz,38.5 MB
Intel Xeon Platinum 8280L Processor,Launched,Q2'19,28,4.00 GHz,2.70 GHz,38.5 MB
Intel Xeon Platinum 8280 Processor,Launched,Q2'19,28,4.00 GHz,2.70 GHz,38.5 MB
Intel Xeon Platinum 8276M Processor,Launched,Q2'19,28,4.00 GHz,2.20 GHz,38.5 MB
Intel Xeon Platinum 8276L Processor,Launched,Q2'19,28,4.00 GHz,2.20 GHz,38.5 MB
Intel Xeon Platinum 8276 Processor,Launched,Q2'19,28,4.00 GHz,2.20 GHz,38.5 MB
Intel Xeon Platinum 8270 Processor,Launched,Q2'19,26,4.00 GHz,2.70 GHz,35.75 MB
Intel Xeon Platinum 8268 Processor,Launched,Q2'19,24,3.90 GHz,2.90 GHz,35.75 MB
Intel Xeon Platinum 8260Y Processor,Launched,Q2'19,24,3.90 GHz,2.40 GHz,35.75 MB
Intel Xeon Platinum 8260M Processor,Launched,Q2'19,24,3.90 GHz,2.40 GHz,35.75 MB
Intel Xeon Platinum 8260L Processor,Launched,Q2'19,24,3.90 GHz,2.40 GHz,35.75 MB
Intel Xeon Platinum 8260 Processor,Launched,Q2'19,24,3.90 GHz,2.40 GHz,35.75 MB
Intel Xeon Platinum 8256 Processor,Launched,Q2'19,4,3.90 GHz,3.80 GHz,16.5 MB
Intel Xeon Platinum 8253 Processor,Launched,Q2'19,16,3.00 GHz,2.20 GHz,22 MB
Intel Xeon Gold 6262V Processor,Launched,Q2'19,24,3.60 GHz,1.90 GHz,33 MB
Intel Xeon Gold 6254 Processor,Launched,Q2'19,18,4.00 GHz,3.10 GHz,24.75 MB
Intel Xeon Gold 6252N Processor,Launched,Q2'19,24,3.60 GHz,2.30 GHz,35.75 MB
Intel Xeon Gold 6252 Processor,Launched,Q2'19,24,3.70 GHz,2.10 GHz,35.75 MB
Intel Xeon Gold 6248 Processor,Launched,Q2'19,20,3.90 GHz,2.50 GHz,27.5 MB
Intel Xeon Gold 6246 Processor,Launched,Q2'19,12,4.20 GHz,3.30 GHz,24.75 MB
Intel Xeon Gold 6244 Processor,Launched,Q2'19,8,4.40 GHz,3.60 GHz,24.75 MB
Intel Xeon Gold 6242 Processor,Launched,Q2'19,16,3.90 GHz,2.80 GHz,22 MB
Intel Xeon Gold 6240Y Processor,Launched,Q2'19,18,3.90 GHz,2.60 GHz,24.75 MB
Intel Xeon Gold 6240M Processor,Launched,Q2'19,18,3.90 GHz,2.60 GHz,24.75 MB
Intel Xeon Gold 6240L Processor,Launched,Q2'19,18,3.90 GHz,2.60 GHz,24.75 MB
Intel Xeon Gold 6240 Processor,Launched,Q2'19,18,3.90 GHz,2.60 GHz,24.75 MB
Intel Xeon Gold 6238T Processor,Launched,Q2'19,22,3.70 GHz,1.90 GHz,30.25 MB
Intel Xeon Gold 6238M Processor,Launched,Q2'19,22,3.70 GHz,2.10 GHz,30.25 MB
Intel Xeon Gold 6238L Processor,Launched,Q2'19,22,3.70 GHz,2.10 GHz,30.25 MB
Intel Xeon Gold 6238 Processor,Launched,Q2'19,22,3.70 GHz,2.10 GHz,30.25 MB
Intel Xeon Gold 6234 Processor,Launched,Q2'19,8,4.00 GHz,3.30 GHz,24.75 MB
Intel Xeon Gold 6230T Processor,Launched,Q2'19,20,3.90 GHz,2.10 GHz,27.5 MB
Intel Xeon Gold 6230N Processor,Launched,Q2'19,20,3.50 GHz,2.30 GHz,27.5 MB
Intel Xeon Gold 6230 Processor,Launched,Q2'19,20,3.90 GHz,2.10 GHz,27.5 MB
Intel Xeon Gold 6226 Processor,Launched,Q2'19,12,3.70 GHz,2.70 GHz,19.25 MB
Intel Xeon Gold 6222V Processor,Launched,Q2'19,20,3.60 GHz,1.80 GHz,27.5 MB
Intel Xeon Gold 5222 Processor,Launched,Q2'19,4,3.90 GHz,3.80 GHz,16.5 MB
Intel Xeon Gold 5220T Processor,Launched,Q2'19,18,3.90 GHz,1.90 GHz,24.75 MB
Intel Xeon Gold 5220S Processor,Launched,Q2'19,18,3.90 GHz,2.70 GHz,24.75 MB
Intel Xeon Gold 5220 Processor,Launched,Q2'19,18,3.90 GHz,2.20 GHz,24.75 MB
Intel Xeon Gold 5218T Processor,Launched,Q2'19,16,3.80 GHz,2.10 GHz,22 MB
Intel Xeon Gold 5218N Processor,Launched,Q2'19,16,3.70 GHz,2.30 GHz,22 MB
Intel Xeon Gold 5218B Processor,Launched,Q2'19,16,3.90 GHz,2.30 GHz,22 MB
Intel Xeon Gold 5218 Processor,Launched,Q2'19,16,3.90 GHz,2.30 GHz,22 MB
Intel Xeon Gold 5217 Processor,Launched,Q2'19,8,3.70 GHz,3.00 GHz,11 MB
Intel Xeon Gold 5215M Processor,Launched,Q2'19,10,3.40 GHz,2.50 GHz,13.75 MB
Intel Xeon Gold 5215L Processor,Launched,Q2'19,10,3.40 GHz,2.50 GHz,13.75 MB
Intel Xeon Gold 5215 Processor,Launched,Q2'19,10,3.40 GHz,2.50 GHz,13.75 MB
Intel Xeon Silver 4216 Processor,Launched,Q2'19,16,3.20 GHz,2.10 GHz,22 MB
Intel Xeon Silver 4215 Processor,Launched,Q2'19,8,3.50 GHz,2.50 GHz,11 MB
Intel Xeon Silver 4214Y Processor,Launched,Q2'19,12,3.20 GHz,2.20 GHz,16.5 MB
